feature,tree_feature_importance
income,0.1217694878578186
used_bnpl,0.09858375042676926
emergency_fund,0.08239979296922684
save_rate,0.05373363941907883
obligation_ratio,0.04449031502008438
is_employed,0.04229070618748665
bills_ontime,0.04169869422912598
spend_to_income,0.03635191172361374
subs_late,0.036262836307287216
rent_to_income,0.03428254649043083
phone_hours,0.028826158493757248
emi_to_income,0.028011374175548553
crypto,0.023348448798060417
upi_txn_week,0.020840054377913475
subs_count,0.018879538401961327
job_months,0.018434343859553337
rent_mode_Others,0.016074609011411667
save_amt,0.016007209196686745
monthly_spend,0.015949539840221405
phone_type_Mid-Range,0.015638409182429314
city_tier_tier2,0.01248916145414114
education_UnderGraduate,0.0112251415848732
goal_months,0.010579447261989117
uses_fi,0.010511374101042747
invest_fd,0.009649498388171196
emi_total,0.008905293419957161
education_PostGraduate,0.008703820407390594
uses_jar,0.008637567050755024
address_months,0.007574994582682848
age,0.00749559048563242
rent_mode_Cash,0.0071711549535393715
invest_mf,0.006870624143630266
phone_type_Budget,0.006865344010293484
rent_amt,0.006826335098594427
uses_coinswitch,0.006320873275399208
rent_mode_Bank Transfer,0.006232008337974548
rent_mode_None,0.006163586396723986
has_goal,0.005929730366915464
invest_stocks,0.005545357707887888
uses_paytm,0.0054379613138735294
uses_phonespe,0.005396445281803608
use_saving_apps,0.005242005921900272
uses_groww,0.005225388798862696
uses_gpay,0.005197605583816767
charity,0.005053429398685694
recharge_spend,0.0042952424846589565
rent_mode_UPI,0.004001424182206392
city_tier_tier3,0.003665621392428875
pay_rent,0.0033378631342202425
has_emi,0.0033154841512441635
do_save,0.001600368064828217
city_tier_tier1,0.0006607830873690546
is_student,0.0
upi_use,0.0
invest_savings,0.0
