threshold,approval_rate,precision,recall,f1,tp,fp,tn,fn,bad_rate_on_approved,expected_profit,auc,brier,ks,label_source,model_path
0.64,0.238,0.9894957983193278,0.9573170731707317,0.9731404958677686,471,5,1503,21,0.01050420168067227,456.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.62,0.239,0.9874476987447699,0.959349593495935,0.9731958762886598,472,6,1502,20,0.012552301255230125,454.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.65,0.237,0.989451476793249,0.9532520325203252,0.9710144927536232,469,5,1503,23,0.010548523206751054,454.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.61,0.239,0.9874476987447699,0.959349593495935,0.9731958762886598,472,6,1502,20,0.012552301255230125,454.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.66,0.237,0.989451476793249,0.9532520325203252,0.9710144927536232,469,5,1503,23,0.010548523206751054,454.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.63,0.2385,0.9874213836477987,0.9573170731707317,0.9721362229102167,471,6,1502,21,0.012578616352201259,453.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.67,0.236,0.989406779661017,0.9491869918699187,0.9688796680497925,467,5,1503,25,0.01059322033898305,452.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.6,0.24,0.9854166666666667,0.9613821138211383,0.9732510288065843,473,7,1501,19,0.014583333333333334,452.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.68,0.236,0.989406779661017,0.9491869918699187,0.9688796680497925,467,5,1503,25,0.01059322033898305,452.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
0.7,0.236,0.989406779661017,0.9491869918699187,0.9688796680497925,467,5,1503,25,0.01059322033898305,452.0,0.9981885229992884,0.011700467159920225,0.9657921977097755,weak label (heuristic),models_out\model_xgboost.joblib
